,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
0,Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,32790,23,3.7,63,12
1,Lenovo,Ideapad,AMD,APU Dual,10th,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,19590,21325,8,3.6,1894,256
2,Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,19990,27990,28,3.7,1153,159
3,Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,21490,27990,23,3.7,1153,159
4,Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,33490,25,3.7,1657,234
5,Avita,PURA,AMD,APU Dual,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,24990,33490,25,3.7,1657,234
6,HP,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,14,0,No,No,20900,22825,8,3.9,1185,141
7,Lenovo,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,21896,21896,0,3.9,219,18
9,acer,Aspire,AMD,Athlon Dual,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,31990,36990,13,4.2,76,13
10,ASUS,ExpertBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34649,41990,17,2.3,3,0
11,Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,38999,42705,8,3.8,65,5
12,Lenovo,v15,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,39999,43999,9,3.1,8,1
16,ASUS,EeeBook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,21990,25990,15,3.5,31,3
20,acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,59990,99999,40,4.5,1946,240
21,acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,6,Casual,Missing,0,No,No,93700,139000,32,4.5,259,47
22,acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,72990,99999,27,4.5,425,67
23,Avita,Cosmos,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,17490,23490,25,3.6,1120,196
28,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,31999,38999,17,4.0,286,19
29,HP,Celeron,Intel,Celeron Dual,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32490,39288,17,4.0,58,6
31,ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,29890,33990,12,4.0,7,0
32,ASUS,Celeron,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,23990,26990,11,3.8,15279,1947
33,HP,15q,Intel,Core i3,7th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,32955,32955,0,4.2,311,27
34,HP,250-G6,Intel,Core i5,7th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,15.6,0,No,No,46200,46200,0,4.2,47,7
35,ASUS,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,34429,49990,31,4.1,37,6
36,Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,2,No,Yes,37990,57990,34,4.3,2080,235
37,ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,35990,49990,28,4.3,1479,181
38,ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,33980,46990,27,4.4,67,3
39,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39990,50085,20,4.2,273,30
40,DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,43312,8,4.3,1267,171
41,RedmiBook,15,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,No,38990,51999,25,4.3,1063,152
42,HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,63510,14,4.6,14,0
44,realme,Book,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,46990,54999,14,4.4,6352,1014
45,ASUS,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,37990,52990,28,4.3,284,39
46,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,37890,51990,27,4.6,44,5
47,Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,38990,60890,35,4.2,33,4
48,Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,37990,57990,34,4.2,286,36
49,DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,1,No,Yes,41990,54510,22,3.6,10,5
50,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147
51,Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,61590,35,4.3,543,65
52,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,59654,28,4.8,9,1
53,Infinix,INBook,Intel,Core i3,10th,8 GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32990,49999,34,4.3,1221,265
54,DELL,Vostro,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,36990,40614,8,4.3,1178,137
55,Lenovo,Ideapad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,75490,28,4.4,299,41
56,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,36990,52990,30,4.4,20,1
57,Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,No,38940,48200,19,4.3,758,64
58,DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15,1,No,Yes,39490,55490,28,4.4,634,64
59,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147
60,Lenovo,Ideapad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,39999,59999,33,5.0,4,0
61,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,42990,56776,24,4.3,17,2
62,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,49990,68658,27,4.2,24,5
63,DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41490,55448,25,4.3,1753,165
64,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,41990,57670,27,4.2,216,21
65,Lenovo,Ideapad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,57290,26,4.4,1084,160
66,Infinix,INBook,Intel,Core i3,10th,8 GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32990,49999,34,4.3,1221,265
67,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38490,51990,25,3.8,19,3
68,Lenovo,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15,1,No,Yes,38990,51544,24,4.4,106,13
69,Lenovo,ThinkPad,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,44990,59239,24,4.1,42,4
72,HP,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44900,51000,11,4.2,1029,107
73,MSI,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,38990,53900,27,4.5,53,11
76,Lenovo,Ideapad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,40200,49999,19,3.9,48,1
77,Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,40990,56800,27,3.7,3,0
79,realme,Book,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,47999,54999,12,4.4,6352,1014
80,acer,Chromebook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,23990,27000,11,3.3,61,4
81,DELL,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,71999,72246,0,4.3,97,13
82,ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,39990,52990,24,4.4,181,19
83,Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,41998,56590,25,4.4,529,39
87,Lenovo,Ideapad,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,39998,60090,33,4.2,10,1
88,HP,14s,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,42490,45892,7,4.4,5205,561
89,Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,41990,49800,15,3.7,3,0
91,HP,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44376,45376,2,4.2,1090,96
94,Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,40990,48900,16,5.0,1,1
95,DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,39990,49821,19,4.0,44,2
97,ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,36990,44990,17,4.5,70,9
100,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,23490,29990,21,4.2,632,92
101,HP,Pavilion,Intel,Core i3,8th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,54238,54238,0,4.4,71,8
102,ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,37990,50990,25,4.3,990,108
103,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42990,57330,25,4.4,158,18
104,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42990,49590,13,4.3,681,59
105,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,49990,28,4.4,130,12
106,RedmiBook,15,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,No,42990,55999,23,4.3,1063,152
107,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.3,30,4
108,ASUS,VivoBook,Intel,Core i3,11th,8 GB,LPDDR4X,512 GB,0 GB,Windows,32-bit,0,Casual,14,1,Yes,Yes,51990,67990,23,4.7,6,2
109,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,48990,62990,22,4.5,174,30
110,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.5,40,7
111,Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,38990,62190,37,3.9,13,1
112,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,45990,60908,24,4.3,184,29
113,HP,Missing,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,42490,50294,15,4.3,1296,126
114,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43970,50196,12,4.3,571,56
115,ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,39990,49990,20,4.3,2551,297
116,MSI,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,48990,49590,1,4.5,17,3
117,HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,54990,69267,20,4.5,35,3
118,MSI,Missing,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,40990,55990,26,4.4,118,17
120,Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,Yes,No,54990,79690,30,4.5,245,34
121,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,44990,46390,3,4.4,2058,305
122,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,41250,46602,11,4.1,117,11
124,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.7,74,11
125,DELL,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,60790,78307,22,4.4,10,1
126,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45650,55202,17,4.1,39,4
127,DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,49826,15,3.9,29,7
128,DELL,Inspiron,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,45490,60046,24,4.2,43,4
130,Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,42990,63790,32,4.4,984,99
131,HP,15s,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,45490,46990,3,4.3,523,66
132,HP,Missing,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,38799,47916,19,4.4,30,1
135,HP,Missing,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,47990,51165,6,4.3,1605,215
136,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,40990,49990,18,4.4,4008,519
137,ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,42990,50990,15,4.4,1869,234
138,ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44890,56999,21,3.9,7,0
139,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,41490,49990,17,4.4,4008,519
141,HP,Missing,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,48900,50000,2,4.3,1278,135
142,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,40990,49990,18,4.4,4008,519
144,Lenovo,Ideapad,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,57999,85000,31,3.4,10,2
146,HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,55490,65853,15,4.3,143,15
147,ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,No,32890,46990,30,3.9,28,4
148,Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4.0,2124,233
149,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,50693,16,4.0,276,40
150,DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,42190,44780,5,3.9,250,21
151,DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,54517,27,4.0,1917,189
152,HP,15s,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43690,48933,10,4.1,4999,490
153,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,48990,26,3.8,17,0
154,DELL,3000,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,43800,55506,21,4.2,17,0
156,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,34990,40990,14,3.7,4203,490
157,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38900,51990,25,3.9,13,0
158,DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,39990,55534,27,3.8,15,1
159,DELL,INSPIRON,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,Missing,0,No,No,40890,45990,11,4.0,527,46
160,Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,36990,57990,36,3.7,103,10
161,HP,15s,Intel,Core i3,11th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,39990,45514,12,3.9,324,45
162,HP,Missing,Intel,Core i3,11th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,41990,47264,11,4.0,69,5
163,DELL,Missing,Intel,Core i3,11th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,Missing,0,No,No,43970,46138,4,3.9,16,0
164,HP,Notebook,Intel,Core i3,11th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,39790,43296,8,3.9,40,3
165,ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,ThinNlight,Missing,0,No,No,35590,45990,22,3.4,12,1
166,HP,14s,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,36490,42787,14,3.8,1146,175
167,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,38990,45990,15,4.0,1850,216
168,ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,ThinNlight,Missing,0,No,No,33990,39990,15,3.7,43,7
169,DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,43400,49000,11,4.1,231,26
170,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,24990,30990,19,4.2,502,93
171,HP,15s,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,40750,43090,5,4.1,1096,116
172,DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43000,46629,7,4.1,313,35
173,ASUS,Vivo,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,38000,42990,11,4.7,7,0
174,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.96,1,No,Yes,37990,51493,26,3.7,265,46
175,HP,DA,Intel,Core i3,7th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,2,Casual,15.6,0,No,No,49279,49279,0,4.5,38,3
176,Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38999,50990,23,3.6,7,2
177,ASUS,Missing,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,41500,51990,20,3.0,4,0
180,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,21490,25990,17,3.9,818,113
181,DELL,Insprion,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,41480,48990,15,3.8,25,4
182,ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,32990,43990,25,2.0,12,0
183,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38680,51990,25,3.2,17,1
184,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,23990,29990,20,4.1,974,170
185,DELL,Missing,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,40390,54992,26,3.2,83,15
186,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.1,0,No,No,33990,39990,15,3.4,31,6
187,ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,20490,24990,18,3.9,637,91
188,DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,41490,54782,24,5.0,7,5
189,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45490,60371,24,4.3,207,16
190,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,44490,57479,22,4.3,844,103
191,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,Yes,41890,57990,27,4.2,53,6
192,DELL,Vostro,Intel,Core i3,11th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,42990,43126,0,4.1,62,7
193,acer,Travelmate,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,40990,60000,31,4.2,38,2
194,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,48990,59990,18,4.1,724,92
196,DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44690,60122,25,4.3,9,0
